User Id,Lat,Lng,Time
User-12433,12.9077416,77.6888778,2019-01-01 11:25:19.847000
User-12433,12.907725,77.6883183,2019-01-01 11:26:07.525000
User-12433,12.907735,77.6888685,2019-01-01 11:27:13.766000
User-12433,12.90773,77.6878967,2019-01-01 11:28:07.500000
User-12433,12.907525,77.688715,2019-01-01 11:31:07.503000
User-12433,12.9078583,77.68833,2019-01-01 11:32:37.620000
User-12433,12.9078619,77.688887,2019-01-01 11:34:08.603000
User-12433,12.9075833,77.6884083,2019-01-01 11:35:31.571000
User-12433,12.9077416,77.6888778,2019-01-01 11:36:32.587000
User-12433,12.9077633,77.6883517,2019-01-01 11:37:34.861000
User-12433,12.9071933,77.68999,2019-01-01 11:39:22.601000
User-12433,12.9073117,77.6895,2019-01-01 11:40:22.613000
User-12433,12.9077566,77.6884273,2019-01-01 11:40:52.602000
User-12433,12.9093383,77.6881485,2019-01-01 11:45:18.122000
User-12433,12.90772,77.6883583,2019-01-01 11:45:48.526000
User-12433,12.9072417,77.6880983,2019-01-01 11:51:52.619000
User-12433,12.9077683,77.68824,2019-01-01 11:55:22.612000
User-12433,12.9077757,77.6887443,2019-01-01 12:00:52.577000
User-12433,12.9080067,77.68939,2019-01-01 12:03:52.839000
User-12433,12.9076217,77.6898183,2019-01-01 12:04:23.882000
User-12433,12.9056203,77.6913039,2019-01-01 12:19:13.127000
User-12433,12.9077131,77.6897916,2019-01-01 12:20:01.358000
User-12433,12.908885,77.68913,2019-01-01 12:30:44.031000
User-12433,12.9097527,77.6871772,2019-01-01 12:31:14.055000
User-12433,12.9105793,77.6873674,2019-01-01 12:32:34.514000
User-12433,12.9098472,77.6873264,2019-01-01 12:43:02.470000
User-12433,12.9101833,77.6858933,2019-01-01 12:44:01.064000
User-12433,12.9106677,77.6843499,2019-01-01 12:44:32.025000
User-12433,12.9088867,77.683705,2019-01-01 12:45:02.023000
User-12433,12.90752,77.683395,2019-01-01 12:45:33.028000
User-12433,12.9064383,77.683635,2019-01-01 12:46:04.004000
User-12433,12.905706,77.6840687,2019-01-01 12:46:34.988000
User-12433,12.9048567,77.68464,2019-01-01 12:47:05.002000
User-12433,12.903205,77.6850867,2019-01-01 12:47:35.019000
User-12433,12.9024183,77.685665,2019-01-01 12:48:05.049000
User-12433,12.9023177,77.687434,2019-01-01 12:48:36.031000
User-12433,12.9015807,77.6883337,2019-01-01 12:49:06.052000
User-12433,12.9008171,77.6882348,2019-01-01 12:49:36.991000
User-12433,12.9000466,77.6881452,2019-01-01 12:50:06.999000
User-12433,12.8996256,77.6879067,2019-01-01 12:52:26.016000
User-12433,12.899153,77.6877876,2019-01-01 12:52:56.991000
User-12433,12.8992358,77.6872598,2019-01-01 12:56:48.186000
User-12433,12.9004433,77.6867172,2019-01-01 12:57:19.324000
User-12433,12.8990025,77.683605,2019-01-01 12:57:50.549000
User-12433,12.9003753,77.6852858,2019-01-01 12:58:21.570000
User-12433,12.897515,77.682975,2019-01-01 12:59:08.059000
User-12433,12.8973643,77.681656,2019-01-01 12:59:55.473000
User-12433,12.8962157,77.6812674,2019-01-01 13:00:26.416000
User-12433,12.8963789,77.6802616,2019-01-01 13:00:57.170000
User-12433,12.8955019,77.6777531,2019-01-01 13:01:28.944000
User-12433,12.894298,77.6767529,2019-01-01 13:02:32.277000
User-12433,12.8942882,77.6788621,2019-01-01 13:03:02.689000
User-12433,12.8930797,77.6787508,2019-01-01 13:03:33.503000
User-12433,12.8928195,77.6793809,2019-01-01 13:04:05.053000
User-12433,12.8919158,77.6803326,2019-01-01 13:04:35.985000
User-12433,12.8925544,77.6814273,2019-01-01 13:05:06.682000
User-12433,12.8930535,77.6817165,2019-01-01 13:06:06.916000
User-12433,12.8939057,77.6819947,2019-01-01 13:06:37.067000
User-12433,12.8926517,77.6817533,2019-01-01 13:12:53.014000
User-12433,12.8919158,77.6803326,2019-01-01 13:13:36.085000
User-12433,12.8924703,77.6797112,2019-01-01 13:14:07.091000
User-12433,12.8928183,77.6787167,2019-01-01 13:14:45.054000
User-12433,12.8938683,77.678325,2019-01-01 13:15:15.051000
User-12433,12.8944667,77.677545,2019-01-01 13:15:45.051000
User-12433,12.895225,77.6779633,2019-01-01 13:16:15.050000
User-12433,12.895945,77.6786467,2019-01-01 13:17:01.053000
User-12433,12.8965133,77.6794667,2019-01-01 13:17:32.389000
User-12433,12.8965358,77.6817944,2019-01-01 13:18:03.614000
User-12433,12.8973643,77.681656,2019-01-01 13:18:34.662000
User-12433,12.8974667,77.6833817,2019-01-01 13:19:15.005000
User-12433,12.89763,77.6842233,2019-01-01 13:19:45.017000
User-12433,12.898755,77.6846017,2019-01-01 13:20:15.029000
User-12433,12.8991236,77.68656,2019-01-01 13:21:09.173000
User-12433,12.9004433,77.6867172,2019-01-01 13:22:09.904000
User-12433,12.8991236,77.68656,2019-01-01 13:22:41.053000
User-12433,12.8997042,77.6876335,2019-01-01 13:23:41.574000
User-12433,12.9001433,77.6880883,2019-01-01 13:24:21.022000
User-12433,12.901175,77.6882667,2019-01-01 13:24:51.022000
User-12433,12.9026004,77.686957,2019-01-01 13:25:43.869000
User-12433,12.9021087,77.6863321,2019-01-01 13:26:14.980000
User-12433,12.9016703,77.6864547,2019-01-01 13:26:59.006000
User-12433,12.9021647,77.6863278,2019-01-01 13:30:24.594000
User-12433,12.9016692,77.6864695,2019-01-01 13:31:03.028000
User-12433,12.9024706,77.6862221,2019-01-01 13:31:56.412000
User-12433,12.9031492,77.6848889,2019-01-01 13:32:26.437000
User-12433,12.9045105,77.6832097,2019-01-01 13:44:03.952000
User-12433,12.9037017,77.6827683,2019-01-01 13:44:25.746000
User-12433,12.9033917,77.6832747,2019-01-01 13:47:48.632000
User-12433,12.90366,77.6826767,2019-01-01 13:48:34.746000
User-12433,12.9032737,77.6840242,2019-01-01 13:49:21.597000
User-12433,12.9049511,77.6840331,2019-01-01 13:49:51.843000
User-12433,12.9047394,77.6845438,2019-01-01 13:50:22.994000
User-12433,12.9058392,77.6841805,2019-01-01 13:50:52.886000
User-12433,12.9071345,77.683344,2019-01-01 13:51:23.501000
User-12433,12.9082954,77.6840245,2019-01-01 13:51:53.177000

